Tamano,Bubble,Insertion,Selection,Cocktail,Merge,MergeOpt,QuickUlt,QuickMed
1000,0.0019582200,0.0014109000,0.0029329400,0.0021094200,0.0000531400,0.0000360600,0.0016161400,0.0000575800
5000,0.0482560909,0.0347562000,0.0767394286,0.0548439000,0.0002995200,0.0002182000,0.0412694615,0.0003844400
10000,0.2102510000,0.1519365000,0.3507350000,0.2188706667,0.0006401400,0.0004755800,0.1697595000,0.0008827400
50000,5.3553160000,3.7315000000,7.7015180000,5.6201150000,0.0045543800,0.0040933600,4.0477270000,0.0058778400
