Tamano,Bubble,Insertion,Selection,Cocktail,Merge,MergeOpt,QuickUlt,QuickMed
1000,0.0000040400,0.0000037600,0.0030354600,0.0000052400,0.0000528800,0.0000248400,0.0019116000,0.0000321600
5000,0.0000131600,0.0000212000,0.0754191429,0.0000295600,0.0003217600,0.0001634800,0.0503154000,0.0002149200
10000,0.0000274400,0.0000381600,0.3118185000,0.0000511400,0.0006607800,0.0004067000,0.1976423333,0.0004665000
50000,0.0001472600,0.0002045000,7.6105380000,0.0002672800,0.0045276200,0.0030136800,5.1441870000,0.0031366200
