Tamano,Bubble,Insertion,Selection,Cocktail,Merge,MergeOpt,QuickUlt,QuickMed
1000,0.0020912600,0.0008595200,0.0030063400,0.0014952000,0.0001004600,0.0000652200,0.0000564200,0.0000733600
5000,0.0504067000,0.0183628214,0.0767547143,0.0433191667,0.0007549400,0.0005910800,0.0004889800,0.0004951200
10000,0.2510815000,0.0852078333,0.3186050000,0.2030843333,0.0016400000,0.0013250600,0.0010850000,0.0011251200
50000,7.4839800000,1.8852660000,7.8181270000,5.0067080000,0.0093199800,0.0077735400,0.0066001800,0.0065005200
